Direcciones,Latitud,Longitud,Nro Radicado
Carrera 50 Calle 99 Sur LA ESTRELLA,,,9121
Calle 79 Sur Carrera 61 LA ESTRELLA,6.158956,-75.6433232,9122
Carrera 50 Calle 77 Sur LA ESTRELLA,6.154535,-75.626803,9123
Carrera 50 Calle 98 Sur LA ESTRELLA,6.1283022,-75.6327344,9124
Calle 77 Sur Carrera 55 LA ESTRELLA,6.1604047,-75.6372673,9125
Carrera 53 Calle 77 Sur LA ESTRELLA,6.15992,-75.6322728,9126
Carrera 50 Calle 79C Sur LA ESTRELLA,6.1529569,-75.6318012,9127
Carrera 55 Calle 87 Sur LA ESTRELLA,6.1501338,-75.6371597,9128
Calle 77 Sur Carrera 60 LA ESTRELLA,6.1599707,-75.6434592,9129
Calle 77 Sur Carrera 52 LA ESTRELLA,6.1584484,-75.6290211,9130
Carrera 59 Calle 82 Sur LA ESTRELLA,6.1560332,-75.6425958,9131
Calle 100 Sur Carrera 49 LA ESTRELLA,6.1195073,-75.6341745,9132
Carrera 48 Calle 100B Sur LA ESTRELLA,6.1186355,-75.6288128,9133
Carrera 50 Calle 79C Sur LA ESTRELLA,6.1529569,-75.6318012,9134
Calle 77 Sur Carrera 52A LA ESTRELLA,6.158955,-75.6292297,9135
Carrera 50 Calle 79 Sur LA ESTRELLA,6.1539353,-75.6289665,9136
Carrera 52D Calle 77 Sur LA ESTRELLA,6.158955,-75.6292297,9137
Carrera 53 Calle 78 Sur LA ESTRELLA,6.1578114,-75.6322848,9138
Carrera 50 Calle 92 Sur LA ESTRELLA,6.1511449,-75.636623,9139
Calle 77 Sur Carrera 50A LA ESTRELLA,6.1578904,-75.6260911,9155
Carrera 50 Calle 96 Sur LA ESTRELLA,6.1349499,-75.6344472,9161
Carrera 59 Calle 77 Sur LA ESTRELLA,6.1596727,-75.6413438,9166
Carrera 50 Calle 94B Sur LA ESTRELLA,6.1371836,-75.6344714,9356
Carrera 48 Calle 100 Sur LA ESTRELLA,6.1168976,-75.6303266,9358
Calle 77 Sur Carrera 59 LA ESTRELLA,6.1596727,-75.6413438,9359
Carrera 9 Calle 100 Sur LA ESTRELLA,6.1198157,-75.6306114,9362
Carrera 50 Calle 79 Sur LA ESTRELLA,6.1539353,-75.6289665,9364
Carrera 55 Calle 77 Sur LA ESTRELLA,6.1604047,-75.6372673,9365
Calle 87 Sur Carrera 66 LA ESTRELLA,6.1526846,-75.6520856,9367
Carrera 50 Calle 100 Sur LA ESTRELLA,6.1194097,-75.6344227,9368
Carrera 47 Calle 100 Sur LA ESTRELLA,6.1196168,-75.6286366,9369
Carrera 50 Calle 99 Sur LA ESTRELLA,6.1226138,-75.634477,9371
Calle 87 Sur Carrera 62 LA ESTRELLA,6.1528829,-75.646854,9372
Carrera 50 Calle 100 Sur LA ESTRELLA,6.1194097,-75.6344227,9374
Carrera 50 Calle 99 Sur LA ESTRELLA,6.1226138,-75.634477,9375
Carrera 63 Calle 73 Sur LA ESTRELLA,6.1656415,-75.6441065,9376
Calle 79 Sur Carrera 62 LA ESTRELLA,6.1591474,-75.6442105,9377
Calle 87 Sur Carrera 65 LA ESTRELLA,6.1531536,-75.6483954,9378
Carrera 50 Calle 91 Sur LA ESTRELLA,6.1441505,-75.6334228,9382
Calle 100 Sur Carrera 49 LA ESTRELLA,6.1195073,-75.6341745,9385
Carrera 50 Calle 80 Sur LA ESTRELLA,6.1523941,-75.6336115,9387
Calle 78A Sur Carrera 52A Sur LA ESTRELLA,6.1573769,-75.6304964,9391
Carrera 50 Calle 88 Sur LA ESTRELLA,6.1481678,-75.6361426,9392
Carrera 50 Calle 83 Sur LA ESTRELLA,6.1529439,-75.6316332,9396
Calle 79 Sur Carrera 61 LA ESTRELLA,6.158956,-75.6433232,9400
Carrera 54 Calle 75 Sur LA ESTRELLA,6.1629835,-75.6354762,9401
Carrera 55 Calle 79 Sur LA ESTRELLA,6.1569697,-75.6355586,9404
Carrera 50 Calle 91 Sur LA ESTRELLA,6.1441505,-75.6334228,9405
Calle 83C Sur Carrera 50 LA ESTRELLA,6.1504236,-75.6360396,9407
Carrera 60 Calle 95 Sur LA ESTRELLA,6.1381026,-75.6435726,9408
Carrera 50 Calle 48 Sur LA ESTRELLA,6.1441505,-75.6334228,9410
Carrera 55 Calle 79 Sur LA ESTRELLA,6.1569697,-75.6355586,9411
Carrera 50 Calle 97B Sur LA ESTRELLA,6.1317917,-75.6334631,9415
Calle 80 Sur Carrera 58 LA ESTRELLA,6.1573989,-75.6413764,9416
Carrera 50 Calle 79 Sur LA ESTRELLA,6.1539353,-75.6289665,9418
Carrera 62 Calle 87 Sur LA ESTRELLA,6.1528829,-75.646854,9419
Carrera 50 Calle 97B Sur LA ESTRELLA,6.1317917,-75.6334631,9421
Calle 83 Sur Carrera 59 LA ESTRELLA,6.1537962,-75.6383414,9424
Carrera 50 Calle 79C Sur LA ESTRELLA,6.1529569,-75.6318012,9425
Carrera 50 Calle 79C Sur LA ESTRELLA,6.1529569,-75.6318012,9426
Calle 79 Sur Carrera 52 LA ESTRELLA,6.1560819,-75.6306278,9429
Carrera 48 Calle 100 Sur LA ESTRELLA,6.1168976,-75.6303266,9431
Calle 87 Sur Carrera 64 LA ESTRELLA,6.1526853,-75.6520852,9440
Calle 95 Sur Carrera 56 LA ESTRELLA,6.1379795,-75.6406863,9445
Carrera 50 Calle 98DD Sur LA ESTRELLA,6.1194902,-75.6344897,9446
