NRO_RADICADO,NUMERO_EXPEDIENTE,FECHA_ACCIDENTE,ID_ZONA,GRAVEDAD,DESC_CLASE_ACCIDENTE,HORA_ACCIDENTE,AREA,SECTOR,ZONA,DISENO,ESTADO_TIEMPO,VIA_ACCID,POSIBLE_CAUSA
9121,A00000421,may/01/2017 05:00 p. m.,2,h,Choque,may/01/2017 05:00 p. m.,1,1,1,1,1,Carrera 50 X Calle 99 Sur,143
9122,A00000540,may/30/2017 04:50 p. m.,1,d,Choque,may/30/2017 04:50 p. m.,1,1,1,1,1,Calle 79 Sur X Carrera 61,143
9123,A00000546,jun/03/2017 12:30 p. m.,18,h,Choque,jun/03/2017 12:30 p. m.,1,1,1,1,1,Carrera 50 X Calle 77 Sur,143
9124,A00000547,jun/02/2017 10:10 a. m.,2,h,Choque,jun/02/2017 10:10 a. m.,1,1,1,1,1,Carrera 50 X Calle 98 Sur,143
9125,A00000554,jun/04/2017 07:00 p. m.,19,h,Atropello,jun/04/2017 07:00 p. m.,1,1,1,1,1,Calle 77 Sur X Carrera 55,409
9126,A00000556,jun/03/2017 10:40 p. m.,23,d,Choque,jun/03/2017 10:40 p. m.,1,1,1,1,1,Carrera 53 X Calle 77 Sur,143
9127,A00000563,jun/05/2017 07:40 a. m.,4,d,Choque,jun/05/2017 07:40 a. m.,1,1,1,1,1,Carrera 50 X Calle 79C Sur,143
9128,A00000565,jun/05/2017 01:50 p. m.,23,h,Otro,jun/05/2017 01:50 p. m.,1,1,1,1,1,Carrera 55 X Calle 87 Sur,143
9129,A00000567,jun/08/2017 07:00 a. m.,19,d,Choque,jun/08/2017 07:00 a. m.,1,1,1,1,1,Calle 77 Sur X Carrera 60,143
9130,A00000568,jun/09/2017 09:10 a. m.,19,h,Choque,jun/09/2017 09:10 a. m.,1,1,1,1,1,Calle 77 Sur X Carrera 52,143
9131,A00000569,jun/09/2017 10:40 p. m.,22,d,Choque,jun/09/2017 10:40 p. m.,1,1,1,1,1,Carrera 59 X Calle 82 Sur,143
9132,A00000570,jun/09/2017 07:15 a. m.,2,h,Choque,jun/09/2017 07:15 a. m.,1,1,1,1,1,Calle 100 Sur X Carrera 49,143
9133,A00000572,jun/10/2017 08:00 a. m.,4,d,Choque,jun/10/2017 08:00 a. m.,1,1,1,1,1,Carrera 48 X Calle 100B Sur,143
9134,A00000576,jun/11/2017 09:40 a. m.,4,h,Choque,jun/11/2017 09:40 a. m.,1,1,1,1,1,Carrera 50 X Calle 79C Sur,143
9135,A00000577,jun/11/2017 02:50 a. m.,19,h,Choque,jun/11/2017 02:50 a. m.,1,1,1,1,1,Calle 77 Sur X Carrera 52A,143
9136,A00000591,jun/15/2017 02:00 p. m.,3,h,Choque,jun/15/2017 02:00 p. m.,1,1,1,1,1,Carrera 50 X Calle 79 Sur,143
9137,A00000594,jun/16/2017 09:30 a. m.,19,d,Choque,jun/16/2017 09:30 a. m.,1,1,1,1,1,Carrera 52D X Calle 77 Sur,143
9138,A00000595,jun/17/2017 09:10 p. m.,23,d,Choque,jun/17/2017 09:10 p. m.,1,1,1,1,1,Carrera 53 X Calle 78 Sur,143
9139,A00000592,jun/16/2017 04:00 p. m.,3,h,Choque,jun/16/2017 04:00 p. m.,1,1,1,1,1,Carrera 50 X Calle 92 Sur,143
